,tags
1920,"{'bus': 'yes', 'name': 'Політехнічний університет', 'name:ru': 'Политехнический университет', 'name:uk': 'Політехнічний університет', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Політехнічний університет, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
1924,"{'bus': 'yes', 'name': 'Вул. Канатна', 'name:ru': 'Канатная ул.', 'name:uk': 'Вул. Канатна', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Вул. Канатна, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
1926,{'highway': 'traffic_signals'}
1928,{'highway': 'traffic_signals'}
1931,{'railway': 'tram_level_crossing'}
1932,{'railway': 'tram_level_crossing'}
1934,{'railway': 'tram_level_crossing'}
1935,{'highway': 'traffic_signals'}
1947,"{'crossing': 'marked', 'highway': 'crossing'}"
1960,"{'bus': 'yes', 'name': 'Завод ""Промзв\'язок""', 'name:en': 'Zavod ""Promzv\'yazok""', 'name:ru': 'Завод ""Промсвязь""', 'name:uk': 'Завод ""Промзв\'язок""', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Завод ""Промзв\'язок"", Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
1961,{'highway': 'traffic_signals'}
1965,{'highway': 'traffic_signals'}
1966,{'highway': 'traffic_signals'}
1967,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
1972,"{'bus': 'yes', 'name': 'Вул. Філатова', 'name:ru': 'улица Филатова', 'name:uk': 'Вул. Філатова', 'public_transport': 'stop_position', 'ref_name': 'Вул. Філатова, Одеса'}"
1973,{'highway': 'traffic_signals'}
1981,"{'bus': 'yes', 'name': 'Вул. Героїв Крут', 'name:ru': 'улица Героев Крут', 'name:uk': 'Вул. Героїв Крут', 'public_transport': 'stop_position', 'ref_name': 'Вул. Героїв Крут, Одеса'}"
1984,{'highway': 'traffic_signals'}
1987,"{'bus': 'yes', 'name': ""пл. Б. Дерев'янка"", 'name:ru': 'площадь Бориса Деревянко', 'name:uk': ""пл. Б. Дерев'янка"", 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': ""пл. Б. Дерев'янка, Одеса"", 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
1990,"{'crossing': 'traffic_signals', 'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
1991,"{'crossing': 'no', 'highway': 'traffic_signals', 'traffic_signals': 'tram_priority', 'traffic_signals:direction': 'forward'}"
1992,{'railway': 'tram_level_crossing'}
1993,{'railway': 'tram_level_crossing'}
1998,{'highway': 'traffic_signals'}
2012,"{'crossing': 'traffic_signals', 'highway': 'crossing', 'traffic_signals:sound': 'yes'}"
2013,"{'bus': 'yes', 'name': '1-а ст. Люстдорфської дороги', 'name:en': '1st stantsiya Lustdorfskoy dorohy', 'name:ru': '1-я ст. Люстдорфской дороги', 'name:uk': '1-а ст. Люстдорфської дороги', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': '1-а ст. Люстдорфської дороги, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
2018,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
2019,"{'bus': 'yes', 'name': 'Південно-західний масив', 'name:en': 'Pivdenno-zakhidny massyv', 'name:ru': 'Юго-западный массив', 'name:uk': 'Південно-західний масив', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Південно-західний масив, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
2020,{'highway': 'traffic_signals'}
2021,"{'side': 'right', 'traffic_sign:forward': 'UA:4.11'}"
2023,"{'bus': 'yes', 'name': 'Вул. Варненська', 'name:ru': 'Ул. Варненская', 'name:uk': 'Вул. Варненська', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Вул. Варненська, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
2024,"{'bus': 'yes', 'name': 'Вул. Варненська', 'name:ru': 'Ул. Варненская', 'name:uk': 'Вул. Варненська', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Вул. Варненська, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
2031,"{'crossing': 'traffic_signals', 'highway': 'crossing', 'kerb': 'raised', 'tactile_paving': 'no', 'traffic_signals:countdown': 'no', 'traffic_signals:sound': 'yes', 'traffic_signals:vibration': 'no'}"
2038,"{'crossing': 'unmarked', 'highway': 'crossing'}"
2045,"{'bicycle': 'yes', 'crossing': 'traffic_signals', 'highway': 'crossing', 'kerb': 'lowered', 'traffic_signals': 'signal'}"
2046,"{'bus': 'yes', 'name': 'Площа Толбухіна', 'name:en': 'Plosha Tolbukhina', 'name:ru': 'Площадь Толбухина', 'name:uk': 'Площа Толбухіна', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Площа Толбухіна, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
2100,{'railway': 'tram_level_crossing'}
2101,{'railway': 'tram_level_crossing'}
2103,{'highway': 'traffic_signals'}
2105,"{'bicycle': 'yes', 'crossing': 'traffic_signals', 'highway': 'crossing', 'kerb': 'yes', 'traffic_signals:sound': 'yes'}"
2108,"{'bus': 'yes', 'name': '5-а ст. Фонтанської дороги', 'name:ru': '5-я ст. Фонтанской дороги', 'name:uk': '5-а ст. Фонтанської дороги', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': '5-а ст. Фонтанської дороги, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
2114,"{'bus': 'yes', 'name': 'Вул. І. Рабіна', 'name:ru': 'ул. И. Рабина', 'name:uk': 'Вул. І. Рабіна', 'public_transport': 'stop_position', 'ref_name': 'Вул. Космонавтів, Одеса'}"
2115,"{'crossing': 'zebra', 'highway': 'crossing'}"
2118,{'highway': 'traffic_signals'}
2120,"{'bus': 'yes', 'name': 'Вул. Космонавтів', 'name:ru': 'улица Космонавтов', 'name:uk': 'Вул. Космонавтів', 'public_transport': 'stop_position', 'ref_name': 'Вул. Космонавтів, Одеса'}"
2127,{'highway': 'traffic_signals'}
2176,"{'crossing': 'unmarked', 'highway': 'crossing', 'kerb': 'flush'}"
2177,{'highway': 'traffic_signals'}
2178,"{'bus': 'yes', 'name': 'Ринок ""Привоз""', 'name:en': 'Rynok ""Pryvoz""', 'name:ru': 'Рынок ""Привоз""', 'name:uk': 'Ринок ""Привоз""', 'public_transport': 'stop_position', 'ref_name': 'Ринок ""Привоз"", Одеса'}"
2180,"{'direction': 'backward', 'highway': 'give_way'}"
2202,{'railway': 'level_crossing'}
2204,{'railway': 'level_crossing'}
2213,"{'crossing': 'traffic_signals', 'highway': 'crossing', 'kerb': 'yes', 'traffic_signals:sound': 'yes'}"
